price|quantity|type|timestamp
90563000|0.1102|1|2024-04-27 17:01:48.918937
90566000|0.0637|1|2024-04-27 17:01:48.918937
90598000|0.314|1|2024-04-27 17:01:48.918937
90671000|0.0784|1|2024-04-27 17:01:48.918937
90672000|0.4467|1|2024-04-27 17:01:48.918937
90570000|0.1739|1|2024-04-27 17:01:54.056475
90571000|0.314|1|2024-04-27 17:01:54.056475
90611000|0.314|1|2024-04-27 17:01:54.056475
90656000|0.481|1|2024-04-27 17:01:54.056475
90674000|0.0465|1|2024-04-27 17:01:54.056475
90570000|0.1739|1|2024-04-27 17:01:59.189295
90571000|0.314|1|2024-04-27 17:01:59.189295
90611000|0.314|1|2024-04-27 17:01:59.189295
90656000|0.481|1|2024-04-27 17:01:59.189295
90674000|0.0465|1|2024-04-27 17:01:59.189295
90570000|0.1739|1|2024-04-27 17:02:04.333420
90571000|0.314|1|2024-04-27 17:02:04.333420
90611000|0.314|1|2024-04-27 17:02:04.333420
90656000|0.481|1|2024-04-27 17:02:04.333420
90674000|0.0465|1|2024-04-27 17:02:04.333420
90569000|0.002|1|2024-04-27 17:02:09.440736
90570000|0.1728|1|2024-04-27 17:02:09.440736
90571000|0.314|1|2024-04-27 17:02:09.440736
90611000|0.314|1|2024-04-27 17:02:09.440736
90656000|0.481|1|2024-04-27 17:02:09.440736
90568000|0.1103|1|2024-04-27 17:02:14.564657
90570000|0.0625|1|2024-04-27 17:02:14.564657
90571000|0.314|1|2024-04-27 17:02:14.564657
90611000|0.314|1|2024-04-27 17:02:14.564657
90656000|0.481|1|2024-04-27 17:02:14.564657
90566000|0.002|1|2024-04-27 17:02:19.716440
90567000|0.1103|1|2024-04-27 17:02:19.716440
90570000|0.0625|1|2024-04-27 17:02:19.716440
90571000|0.314|1|2024-04-27 17:02:19.716440
90611000|0.314|1|2024-04-27 17:02:19.716440
90564000|0.002|1|2024-04-27 17:02:24.840173
90565000|0.0001|1|2024-04-27 17:02:24.840173
90570000|0.0625|1|2024-04-27 17:02:24.840173
90571000|0.314|1|2024-04-27 17:02:24.840173
90611000|0.314|1|2024-04-27 17:02:24.840173
90562000|0.002|1|2024-04-27 17:02:29.953562
90570000|0.0625|1|2024-04-27 17:02:29.953562
90571000|0.314|1|2024-04-27 17:02:29.953562
90611000|0.314|1|2024-04-27 17:02:29.953562
90656000|0.481|1|2024-04-27 17:02:29.953562
90560000|0.1123|1|2024-04-27 17:02:35.066878
90570000|0.0625|1|2024-04-27 17:02:35.066878
90571000|0.314|1|2024-04-27 17:02:35.066878
90611000|0.314|1|2024-04-27 17:02:35.066878
90656000|0.481|1|2024-04-27 17:02:35.066878
90559000|0.0004|1|2024-04-27 17:02:40.184039
90570000|0.0625|1|2024-04-27 17:02:40.184039
90583000|0.314|1|2024-04-27 17:02:40.184039
90610000|0.0861|1|2024-04-27 17:02:40.184039
90611000|0.314|1|2024-04-27 17:02:40.184039
90567000|0.0001|1|2024-04-27 17:02:45.299248
90579000|0.0637|1|2024-04-27 17:02:45.299248
90589000|0.1102|1|2024-04-27 17:02:45.299248
90598000|0.314|1|2024-04-27 17:02:45.299248
90634000|0.314|1|2024-04-27 17:02:45.299248
90566000|0.0001|1|2024-04-27 17:02:50.406475
90581000|0.0637|1|2024-04-27 17:02:50.406475
90583000|0.1102|1|2024-04-27 17:02:50.406475
90598000|0.314|1|2024-04-27 17:02:50.406475
90634000|0.314|1|2024-04-27 17:02:50.406475
90566000|0.0001|1|2024-04-27 17:02:55.516249
90588000|0.1102|1|2024-04-27 17:02:55.516249
90609000|0.0861|1|2024-04-27 17:02:55.516249
90610000|0.314|1|2024-04-27 17:02:55.516249
90634000|0.314|1|2024-04-27 17:02:55.516249
90566000|0.0014|1|2024-04-27 17:03:00.622544
90609000|0.0861|1|2024-04-27 17:03:00.622544
90610000|0.314|1|2024-04-27 17:03:00.622544
90634000|0.314|1|2024-04-27 17:03:00.622544
90664000|0.0015|1|2024-04-27 17:03:00.622544
90566000|0.0014|1|2024-04-27 17:03:05.752058
90610000|0.1102|1|2024-04-27 17:03:05.752058
90634000|0.0861|1|2024-04-27 17:03:05.752058
90635000|0.314|1|2024-04-27 17:03:05.752058
90664000|0.0015|1|2024-04-27 17:03:05.752058
90566000|0.0014|1|2024-04-27 17:03:10.861878
90599000|0.1102|1|2024-04-27 17:03:10.861878
90608000|0.0895|1|2024-04-27 17:03:10.861878
90611000|0.0637|1|2024-04-27 17:03:10.861878
90635000|0.314|1|2024-04-27 17:03:10.861878
90566000|0.0014|1|2024-04-27 17:03:15.979544
90664000|0.0015|1|2024-04-27 17:03:15.979544
90670000|0.1154|1|2024-04-27 17:03:15.979544
90671000|0.314|1|2024-04-27 17:03:15.979544
90685000|0.001|1|2024-04-27 17:03:15.979544
90564000|0.002|1|2024-04-27 17:03:21.089669
