price   |quantity|type|timestamp
91085000|0.1575|0|2024-04-28 16:29:40.393740
91080000|0.3172|0|2024-04-28 16:29:40.393740
91078000|0.0001|0|2024-04-28 16:29:40.393740
91074000|0.1389|0|2024-04-28 16:29:40.393740
91073000|0.1108|0|2024-04-28 16:29:40.393740
91097000|0.0075|1|2024-04-28 16:29:40.396173
91100000|0.0045|1|2024-04-28 16:29:40.396173
91137000|0.1155|1|2024-04-28 16:29:40.396173
91138000|0.0628|1|2024-04-28 16:29:40.396173
91156000|0.0483|1|2024-04-28 16:29:40.396173
91085000|0.1589|0|2024-04-28 16:29:45.560063
91080000|0.3172|0|2024-04-28 16:29:45.560063
91078000|0.0001|0|2024-04-28 16:29:45.560063
91074000|0.1389|0|2024-04-28 16:29:45.560063
91073000|0.1108|0|2024-04-28 16:29:45.560063
91096000|0.0075|1|2024-04-28 16:29:45.562173
91100000|0.0045|1|2024-04-28 16:29:45.562173
91137000|0.1155|1|2024-04-28 16:29:45.562173
91138000|0.0628|1|2024-04-28 16:29:45.562173
91156000|0.0483|1|2024-04-28 16:29:45.562173
91085000|0.1459|0|2024-04-28 16:29:50.705010
91080000|0.3172|0|2024-04-28 16:29:50.705010
91078000|0.0001|0|2024-04-28 16:29:50.705010
91074000|0.1389|0|2024-04-28 16:29:50.705010
91073000|0.1108|0|2024-04-28 16:29:50.705010
91095000|0.0055|1|2024-04-28 16:29:50.707129
91100000|0.0045|1|2024-04-28 16:29:50.707129
91138000|0.0628|1|2024-04-28 16:29:50.707129
91155000|0.1152|1|2024-04-28 16:29:50.707129
91156000|0.0483|1|2024-04-28 16:29:50.707129
91085000|0.1402|0|2024-04-28 16:29:55.823064
91080000|0.3172|0|2024-04-28 16:29:55.823064
91078000|0.0001|0|2024-04-28 16:29:55.823064
91074000|0.1389|0|2024-04-28 16:29:55.823064
91073000|0.1108|0|2024-04-28 16:29:55.823064
91094000|0.0055|1|2024-04-28 16:29:55.825364
91100000|0.0045|1|2024-04-28 16:29:55.825364
91141000|0.0628|1|2024-04-28 16:29:55.825364
91152000|0.1152|1|2024-04-28 16:29:55.825364
91153000|0.0571|1|2024-04-28 16:29:55.825364
91086000|0.0082|0|2024-04-28 16:30:00.965952
91085000|0.1388|0|2024-04-28 16:30:00.965952
91080000|0.3172|0|2024-04-28 16:30:00.965952
91078000|0.0001|0|2024-04-28 16:30:00.965952
91074000|0.1389|0|2024-04-28 16:30:00.965952
91093000|0.0055|1|2024-04-28 16:30:00.968130
91100000|0.0045|1|2024-04-28 16:30:00.968130
